frame,time,flip_kinetic_energy,apic_kinetic_energy,polypic_kinetic_energy
280,4.683333,0.18540618,0.05002363,0.12464980
281,4.700000,0.19067115,0.04910632,0.14021286
282,4.716667,0.19426665,0.04714119,0.15556782
283,4.733333,0.20083135,0.04501589,0.17099057
284,4.750000,0.20665954,0.04315271,0.18676277
285,4.766667,0.21290775,0.04116108,0.20256580
286,4.783333,0.21843246,0.03911977,0.21770811
287,4.800000,0.22296193,0.03675634,0.23083828
288,4.816667,0.22581802,0.03350661,0.24342547
289,4.833333,0.22613552,0.03010437,0.25530413
290,4.850000,0.22494888,0.02705329,0.26661623
291,4.866667,0.22389388,0.02499753,0.27265602
292,4.883333,0.22154105,0.02339765,0.27415848
293,4.900000,0.22098324,0.02179706,0.26823828
294,4.916667,0.21690993,0.02084122,0.25935200
295,4.933333,0.21451531,0.02059391,0.24904299
296,4.950000,0.21288694,0.02024116,0.24031620
297,4.966667,0.21103464,0.01986200,0.22995627
298,4.983333,0.21121401,0.01869078,0.21904050
299,5.000000,0.21050686,0.01778594,0.21173687
